x,y,z,som,picos
0.0000,0.0000,0.0000,27327,0
0.0000,0.0000,0.0000,27215,0
0.0000,0.0000,0.0000,27422,0
0.0000,0.0000,0.0000,27422,0
0.0000,0.0000,0.0000,27413,0
-20.3828,-4.3477,2.8398,27413,0
-8.8164,5.4961,0.1211,27307,0
-25.3984,-3.5820,3.7969,27383,0
0.9883,-2.8906,0.0430,27383,0
-25.7539,-1.2070,3.8750,27208,0
-5.7109,-3.9297,0.7344,27429,0
2.6367,4.3047,-2.0234,27231,0
-21.6484,1.9336,3.0312,27332,0
5.2422,1.8945,-1.6797,27338,0
-14.8711,4.5781,1.5000,27225,0
-21.1914,-4.2734,2.9570,27416,0
-7.8984,5.5703,-0.1484,27226,0
-25.6719,-3.3906,3.8359,27365,0
0.1484,-3.1602,0.1992,27276,0
-1.6172,5.3047,-1.4883,27278,0
-6.8633,-4.0430,0.8867,27362,0
3.2500,3.9609,-2.0234,27182,0
-20.7656,2.3945,2.8008,27404,0
5.3164,1.4727,-1.5664,27220,0
-13.8359,4.8828,1.2695,27311,0
-22.1133,-4.2344,3.1094,27301,0
-6.9023,5.6484,-0.4141,27211,0
-25.9805,-3.0469,3.9141,27371,0
-0.7344,-3.4336,0.3125,27182,0
-0.7734,5.2266,-1.6406,27182,0
-8.0469,-4.1211,1.0391,27356,0
3.8203,3.7344,-1.9844,27240,0
-19.7773,2.8516,2.5742,27242,0
5.3164,1.0508,-1.3711,27364,0
-12.7188,4.9219,0.9648,27159,0
-23.0273,-4.1211,3.3008,27389,0
3.4414,-1.7461,-0.4531,27191,0
-26.1328,-2.6641,3.9141,27291,0
-1.7695,-3.6211,0.4648,27305,0
0.0312,5.0703,-1.7578,27174,0
-9.2773,-4.1953,1.1953,27409,0
4.2070,3.4648,-1.9102,27150,0
-18.6992,3.2734,2.3047,27345,0
-17.4375,-4.3125,2.3828,27267,0
-11.5352,5.0742,0.6172,27211,0
-23.9492,-3.8906,3.4531,27363,0
2.9102,-2.1641,-0.2227,27161,0
-26.2461,-2.2031,3.8750,27402,0
-2.8398,-3.8555,0.6172,27216,0
0.9141,4.8438,-1.8711,27216,0
-10.6602,-4.2344,1.4609,27342,0
4.6680,3.0039,-1.8711,27342,0
-17.4766,3.6953,2.0352,27191,0
-18.8516,-4.3477,2.6094,27399,0
-10.1562,5.2266,0.3516,27180,0
