x,y,z,som,picos
0.0000,0.0000,0.0000,27505,0
0.0000,0.0000,0.0000,27538,0
0.0000,0.0000,0.0000,27491,0
0.0000,0.0000,0.0000,27580,0
0.0000,0.0000,0.0000,27478,0
-14.3672,4.0000,-1.7188,27538,0
-5.3281,-4.0039,-1.4883,27452,0
-15.0664,4.6523,-1.2578,27516,0
-8.0469,-0.5195,0.9648,27438,0
-15.3672,5.0742,-0.7617,27517,0
-6.6367,-1.7812,0.7344,27433,0
-7.7461,-2.1641,-2.0625,27491,0
-15.2109,5.0742,-0.2617,27447,0
-9.1602,-0.9023,-2.1758,27465,0
-14.6406,4.6914,0.1992,27471,0
-4.6836,-3.7734,0.0820,27460,0
-13.6445,4.0391,0.6172,27502,0
-4.2188,-4.3125,-0.3398,27428,0
-12.0703,1.7422,-2.1758,27505,0
-12.4141,3.1211,0.8867,27432,0
-13.3359,2.9297,-1.9492,27432,0
-11.0820,2.0078,1.0039,27511,0
-4.5664,-4.5039,-1.1445,27409,0
-9.5508,0.8203,1.0391,27506,0
-5.2891,-4.0820,-1.4883,27409,0
-15.0234,4.6133,-1.2188,27487,0
-6.2891,-3.3516,-1.7930,27415,0
-15.3320,4.9961,-0.7617,27469,0
-6.8242,-1.5547,0.8086,27397,0
-7.5195,-2.3945,-2.0625,27441,0
-5.6758,-2.5508,0.5430,27409,0
-8.8945,-1.3242,-2.2148,27391,0
-14.7891,4.8438,0.1211,27422,0
-10.2734,-0.0195,-2.2539,27395,0
-13.9844,4.3086,0.5039,27414,0
-4.3398,-4.0820,-0.1836,27368,0
-11.5703,1.2070,-2.2539,27433,0
-4.1445,-4.5391,-0.5312,27356,0
-12.7969,2.3555,-2.1016,27422,0
-11.6875,2.6211,1.0391,27335,0
-13.8359,3.3516,-1.8711,27452,0
-10.2773,1.5898,1.0781,27338,0
-4.8711,-4.3867,-1.2969,27338,0
-8.9688,0.4023,1.0391,27436,0
-5.6758,-3.8906,-1.6406,27349,0
-15.1719,4.7305,-1.1445,27420,0
-7.6680,-0.6719,0.9648,27360,0
-15.3281,4.9961,-0.6836,27407,0
-6.4805,-1.7812,0.7344,27395,0
-7.9375,-2.1641,-2.1016,27381,0
-5.4844,-2.7422,0.5039,27418,0
-9.1602,-1.0547,-2.2148,27371,0
-14.6406,4.8047,0.1992,27413,0
-4.7188,-3.5820,0.1992,27351,0
-13.8398,4.2695,0.5430,27429,0
-4.2969,-4.1211,-0.1484,27328,0
-11.7656,1.2422,-2.2539,27434,0
