x,y,z,som,picos
-20.3477,6.7969,2.8789,27433,0
2.4844,-3.1289,-1.6797,27330,0
-15.2109,8.3672,1.4609,27378,0
-18.5117,-2.1641,3.2227,27367,0
2.2930,-6.8008,-1.1055,27301,0
-21.9141,2.7383,3.3008,27420,0
-2.4180,-7.9883,0.1211,27294,0
-2.4961,3.5820,-1.4102,27294,0
-10.0000,-6.7617,1.9219,27409,0
1.9883,-1.8984,-1.6406,27339,0
-16.7852,8.1758,1.8438,27317,0
-17.3242,-3.1992,3.0703,27421,0
-10.2773,7.9453,0.1211,27297,0
-21.6523,1.6250,3.3789,27431,0
-0.8867,-7.8359,-0.2227,27318,0
-21.8750,5.5352,3.2227,27330,0
-8.0898,-7.3008,1.4609,27389,0
1.2969,-0.5195,-1.6797,27263,0
-15.7109,-4.3477,2.8789,27452,0
3.1328,-5.2305,-1.4102,27292,0
-12.0703,8.3320,0.5820,27347,0
-20.8828,0.3242,3.3789,27377,0
-5.5234,6.0312,-0.9531,27262,0
-22.2305,4.5781,3.3398,27429,0
-5.8672,-7.6836,0.8867,27287,0
-19.5820,7.3359,2.6484,27372,0
-13.5625,-5.5000,2.4961,27341,0
3.0586,-3.9609,-1.6406,27276,0
-14.1445,8.3672,1.1953,27417,0
1.9102,-7.0312,-1.0664,27278,0
-7.6289,6.9531,-0.5312,27278,0
-22.1875,3.3516,3.3789,27400,0
-1.6914,2.9727,-1.4883,27329,0
-20.8477,6.5664,2.9180,27259,0
-11.0430,-6.4570,2.0352,27387,0
2.3320,-2.3945,-1.6797,27247,0
-17.8906,-2.8164,3.1094,27391,0
2.7500,-6.3047,-1.3359,27279,0
-9.7383,7.8320,0.0820,27293,0
-1.2305,-7.7617,-0.1836,27369,0
-3.5703,4.4609,-1.2969,27216,0
-21.7695,5.6094,3.1875,27390,0
1.3359,-0.5586,-1.6836,27284,0
-18.0469,7.7539,2.3438,27298,0
-15.7539,-4.2734,2.8789,27331,0
3.0977,-5.1172,-1.4883,27227,0
