x,y,z,som,picos
0.0000,0.0000,0.0000,27383,0
0.0000,0.0000,0.0000,27219,0
0.0000,0.0000,0.0000,27361,0
0.0000,0.0000,0.0000,27311,0
0.0000,0.0000,0.0000,27270,0
-21.7266,1.6641,3.7227,27361,0
-4.2578,4.7695,-1.1445,27225,0
-22.1133,4.3828,3.6836,27383,0
-5.5234,-7.1445,0.5430,27240,0
-20.3047,6.2617,3.2227,27322,0
-10.7344,-6.3398,1.8047,27302,0
1.3359,-1.1328,-1.8711,27224,0
-16.9805,7.2969,2.4180,27363,0
2.4062,-3.9336,-1.8320,27220,0
-12.7969,7.5625,1.1172,27356,0
-19.6211,-1.3984,3.4922,27356,0
-8.3203,6.7578,-0.0703,27267,0
-21.7266,1.7031,3.7227,27290,0
-1.2695,-6.9531,-0.6836,27330,0
-4.2578,4.7656,-1.1797,27229,0
-5.5977,-7.1797,0.5039,27356,0
-0.9648,1.9297,-1.7188,27257,0
-20.2656,6.3398,3.1875,27380,0
1.3711,-1.2070,-1.8711,27292,0
-16.9023,7.2578,2.4180,27292,0
-15.8320,-4.2734,2.8398,27334,0
-12.7969,7.5273,1.1172,27270,0
-19.5430,-1.3984,3.4922,27394,0
1.6016,-5.8828,-1.5273,27266,0
-8.3594,6.7969,-0.0703,27396,0
-1.2695,-6.9531,-0.6836,27302,0
-4.2578,4.7656,-1.1797,27311,0
-22.0742,4.4219,3.6836,27381,0
-1.0039,1.9727,-1.7188,27267,0
-20.3047,6.2617,3.2227,27415,0
-10.6953,-6.3789,1.7695,27281,0
1.3359,-1.2070,-1.8711,27388,0
-15.7148,-4.3477,2.8008,27344,0
2.3672,-3.9336,-1.8320,27344,0
-12.8789,7.5625,1.1562,27290,0
1.6016,-5.8867,-1.5664,27405,0
-8.4336,6.8359,-0.0312,27263,0
-21.7266,1.6641,3.7227,27406,0
-4.3359,4.8047,-1.1055,27306,0
-22.0742,4.3828,3.7227,27345,0
-5.4844,-7.1836,0.4648,27348,0
-1.0391,2.0117,-1.6797,27289,0
-10.6172,-6.3789,1.7305,27420,0
1.2578,-1.0938,-1.8711,27270,0
-17.0586,7.2188,2.4180,27404,0
2.3672,-3.8516,-1.8320,27335,0
