x,y,z,som,picos
0.0000,0.0000,0.0000,27347,0
0.0000,0.0000,0.0000,27561,0
0.0000,0.0000,0.0000,27570,0
0.0000,0.0000,0.0000,27297,0
0.0000,0.0000,0.0000,27311,0
-13.3398,-4.3867,5.5234,27540,0
-1.5000,-10.1367,-2.5234,27560,0
-8.3945,4.7305,-4.8984,27412,0
-12.8398,12.8945,0.1602,27253,0
-9.9297,-5.0000,5.6367,27421,0
-1.8086,-11.0547,4.9492,27577,0
-0.4297,-7.7227,-4.0938,27497,0
-9.3945,3.2344,-3.4023,27258,0
-24.1797,7.7930,5.2930,27331,0
-8.4336,-5.4609,5.3672,27568,0
-1.8438,-11.8906,4.9102,27568,0
-10.1211,3.3906,-3.0195,27560,0
-13.8008,13.1953,0.6562,27311,0
-23.9844,6.3398,4.8711,27303,0
-3.1875,-13.3164,4.9102,27528,0
0.3398,-2.2031,-6.1250,27562,0
-11.0781,3.3125,-2.1406,27430,0
-14.7891,14.3047,1.4219,27257,0
-3.8008,-5.8867,5.4062,27401,0
-4.2969,-14.1992,4.2578,27583,0
0.6445,-0.5195,-7.0430,27505,0
-15.8984,13.9219,2.2266,27281,0
-23.0664,3.6172,5.1016,27306,0
-2.3828,-6.1133,5.0234,27559,0
-4.4883,-15.0312,4.2578,27566,0
-12.4141,4.4609,-0.7227,27325,0
-16.6328,13.7695,2.1133,27285,0
-22.1914,1.5508,4.9102,27483,0
-4.7578,-15.3047,3.4531,27565,0
-0.8125,3.6172,-7.6211,27445,0
-11.9219,5.6875,-0.7227,27260,0
-18.3516,13.5000,3.3008,27260,0
-0.0078,-6.5352,4.8320,27361,0
-4.8711,-15.5352,2.3438,27585,0
-1.3086,4.6133,-7.6992,27525,0
-18.9297,12.7734,3.0703,27292,0
-19.5820,-1.0156,5.3320,27293,0
0.4922,-7.0312,4.6406,27541,0
-3.3008,5.2656,-7.2344,27564,0
-11.8867,8.8281,-0.4531,27366,0
-21.1914,11.9688,4.1055,27277,0
-16.9023,-2.2422,4.9492,27451,0
-3.8750,-14.3477,0.3125,27574,0
-4.5664,5.3789,-6.7734,27464,0
-12.4141,8.8281,-0.4531,27246,0
-16.4023,-2.9336,5.7891,27367,0
1.0664,-8.2227,4.7188,27574,0
-3.5703,-12.2031,-0.3398,27545,0
-5.9062,4.8828,-6.4727,27284,0
-23.7578,10.1680,4.4102,27300,0
-12.5352,-4.0820,5.3672,27551,0
-0.6562,-9.3672,4.7930,27551,0
-7.3594,3.8867,-4.9375,27400,0
-12.4961,11.3164,-0.5703,27400,0
-23.4453,9.9766,5.5625,27256,0
-11.9219,-4.8086,5.4062,27431,0
-1.5000,-8.3711,-3.4023,27589,0
-8.6250,4.0391,-4.5898,27475,0
-12.9531,13.1992,0.5039,27240,0
-8.2461,-5.2695,5.5977,27341,0
-2.3438,-11.6289,4.8711,27543,0
-0.1211,-6.6523,-4.7812,27517,0
-14.1055,13.3477,0.5430,27320,0
-23.4453,6.7578,4.8320,27271,0
-7.4023,-5.9219,5.3320,27503,0
-2.0000,-12.9336,4.6797,27531,0
-11.4219,4.6914,-2.2148,27376,0
-15.1328,14.9961,1.0781,27246,0
-23.1797,3.4648,3.1875,27368,0
-3.6836,-13.6953,4.3359,27542,0
0.4141,-1.3633,-6.0508,27463,0
-12.1523,3.5820,-1.6406,27223,0
-14.8320,13.3477,1.0781,27279,0
-3.5312,-5.9531,4.9844,27524,0
-2.9180,-14.1562,4.9102,27524,0
-0.8125,1.7812,-6.5781,27521,0
-16.4805,13.5000,1.3477,27313,0
-21.6914,1.4336,4.1445,27256,0
-2.0352,-6.4531,5.1016,27451,0
-0.8477,3.3125,-6.9609,27540,0
-12.5312,5.2266,-0.7227,27413,0
-17.2031,13.0820,2.4570,27220,0
-21.2695,0.7852,5.2539,27344,0
-4.2969,-15.0352,3.4531,27562,0
-1.8828,4.6523,-7.6992,27487,0
-11.6914,5.4180,-1.0664,27244,0
-20.1172,0.0938,5.1016,27286,0
0.1094,-7.0352,4.7930,27529,0
-4.2578,-14.7656,2.1914,27531,0
-2.7266,5.1133,-7.6992,27334,0
-20.9258,12.4688,4.2578,27254,0
-17.8633,-1.4766,4.7930,27428,0
0.3398,-7.3008,4.8320,27552,0
-3.6836,5.0352,-7.0820,27459,0
-11.8828,8.5234,-0.6055,27212,0
-21.6094,12.0469,4.7930,27212,0
-16.6328,-2.4727,5.2930,27336,0
-3.4141,-13.5430,-0.3008,27558,0
-5.2930,5.3438,-6.5430,27507,0
-11.9570,10.2461,-0.5703,27270,0
-14.1445,-3.4688,5.2539,27289,0
-0.0430,-8.9102,4.8320,27509,0
-2.3828,-12.0859,-1.6797,27534,0
-12.5742,11.4336,-0.2227,27384,0
-23.0234,9.5938,4.2969,27240,0
-12.3750,-4.4258,5.4844,27411,0
-0.3516,-9.9414,4.8711,27546,0
-8.4688,4.5391,-4.6680,27453,0
-12.6914,12.5039,0.1992,27221,0
-23.8711,8.2930,4.5664,27319,0
-1.3867,-10.9766,5.0234,27550,0
-0.8867,-7.9102,-3.9766,27515,0
-9.6953,3.7734,-3.5938,27284,0
-12.9570,12.5820,-0.0312,27267,0
-8.6641,-5.3828,5.4844,27493,0
-1.3867,-11.9727,5.0234,27533,0
-0.5039,-4.8867,-4.6680,27533,0
-14.0234,13.8086,0.6562,27408,0
-23.5625,5.1133,3.7617,27248,0
-5.8711,-5.6523,5.5625,27384,0
0.1484,-2.4336,-5.8555,27565,0
-11.2656,3.3906,-2.1758,27487,0
-14.6406,13.6562,1.3086,27230,0
-23.6055,4.6914,5.1406,27304,0
-3.4922,-14.0039,4.7578,27565,0
-0.3516,0.0547,-6.8906,27534,0
-11.3047,3.3125,-1.7930,27318,0
-23.1016,3.5820,4.8711,27279,0
-2.5742,-6.1484,5.1406,27489,0
-4.2969,-14.7695,4.1445,27562,0
-0.3125,2.2773,-7.5000,27440,0
-17.3203,13.8086,2.8398,27255,0
-21.8398,1.7812,4.6406,27360,0
-0.9648,-6.1875,5.1016,27607,0
-0.6211,3.6953,-7.7695,27535,0
-12.4570,5.3789,-0.5312,27276,0
-17.7461,13.2344,2.8398,27327,0
-21.1094,0.5938,5.1758,27554,0
-4.5664,-15.3477,2.6875,27557,0
-1.3477,4.9961,-7.5430,27557,0
-13.3789,7.2969,0.3516,27385,0
-19.0820,-1.7461,5.0234,27297,0
0.4141,-7.2969,4.6016,27475,0
-4.0664,-14.6484,1.6133,27565,0
-13.5273,8.4453,0.2734,27476,0
-19.7773,11.9688,2.9180,27273,0
-17.6289,-2.5859,5.4844,27356,0
0.9492,-7.4570,4.5664,27582,0
-4.2578,5.8008,-6.8555,27537,0
-13.4141,9.4414,0.2344,27287,0
-20.6523,10.8984,2.6094,27314,0
0.4922,-8.6016,4.6016,27544,0
-2.5742,-12.0508,0.0820,27546,0
-6.3320,5.8398,-6.0078,27396,0
-13.3398,11.1641,0.1602,27274,0
-13.4141,-4.1211,5.7148,27431,0
-0.0820,-9.4453,4.8320,27554,0
-2.1914,-10.7031,-1.2188,27499,0
-13.0742,11.0508,-0.3398,27263,0
-22.3359,8.5234,4.1445,27335,0
-12.2305,-4.3477,5.7539,27335,0
0.1484,-9.9766,4.9844,27566,0
-9.0469,5.1133,-4.8594,27551,0
-12.8789,11.8555,-0.3789,27322,0
-23.2969,7.4102,3.7969,27280,0
-1.3867,-11.4688,4.9102,27526,0
-0.4648,-6.1914,-3.7500,27558,0
-10.5820,4.4609,-3.6328,27407,0
-23.3789,6.0312,4.2969,27282,0
-7.5898,-5.1914,5.4453,27403,0
-2.0742,-12.2734,5.1758,27564,0
-0.6562,-4.2734,-4.8633,27529,0
-13.8750,12.8516,0.4258,27252,0
-23.4883,5.5703,4.9492,27321,0
-6.0938,-5.5742,5.2539,27570,0
-0.4297,-1.5898,-5.8164,27537,0
-11.2695,3.6172,-2.2930,27354,0
-14.7148,13.3477,1.0391,27283,0
-23.4141,4.2305,4.6016,27479,0
-3.9922,-14.0039,4.6016,27576,0
-0.0820,0.2852,-6.8945,27429,0
-11.3438,3.3125,-1.6797,27429,0
-22.9961,3.5430,5.1406,27267,0
-2.4180,-5.9922,5.0625,27358,0
-4.3750,-14.6484,4.2578,27572,0
-11.7695,4.2305,-1.2969,27527,0
-16.9023,13.3086,2.4961,27268,0
-21.9531,2.1250,4.9102,27299,0
-1.2305,-6.1914,4.9844,27557,0
-0.8867,3.6953,-7.7695,27548,0
-11.5352,5.4180,-0.9883,27351,0
-18.4336,13.4258,3.4141,27264,0
-0.1602,-6.3086,4.9102,27460,0
-5.0625,-15.4922,2.5742,27548,0
-1.4258,4.4609,-7.7266,27459,0
-12.0312,5.9180,-0.7969,27261,0
-19.8516,-0.1758,5.3672,27329,0
0.5312,-6.8359,4.6797,27570,0
-4.4492,-14.9258,1.9219,27523,0
-11.5703,8.1016,-0.6836,27291,0
-21.0039,12.2773,4.1055,27272,0
-17.2031,-1.8594,4.8320,27506,0
0.3008,-7.1797,4.8320,27525,0
-3.9531,5.1875,-6.8516,27525,0
-12.1133,8.3672,-0.6055,27375,0
-21.1094,11.7773,4.6406,27244,0
1.1055,-7.7227,4.6797,27418,0
-3.8008,-13.7383,0.0820,27540,0
-5.6758,6.0703,-6.5781,27476,0
-21.9531,10.2852,3.5312,27254,0
-14.2227,-3.5469,5.4453,27298,0
-0.0820,-8.9102,4.8711,27550,0
-2.6484,-11.7070,-1.4492,27513,0
-12.3047,11.3945,-0.2617,27310,0
-23.0273,9.6719,4.6406,27274,0
-12.2656,-4.1562,5.3672,27472,0
-2.2266,-10.5195,-2.4453,27554,0
-8.0117,4.6523,-4.8594,27394,0
-12.6094,11.4727,-0.4141,27236,0
-23.2188,8.7891,4.8320,27386,0
-0.7734,-10.5938,5.0625,27530,0
-1.6523,-8.0273,-3.3281,27495,0
-9.0469,3.8867,-4.1680,27495,0
-23.9883,7.6406,4.5664,27291,0
-8.5859,-5.0391,5.4844,27291,0
-2.1523,-11.6250,5.0234,27540,0
-0.6953,-6.1875,-4.7812,27532,0
-13.3789,13.0820,0.3516,27331,0
-23.8672,6.9141,4.9844,27252,0
-7.0156,-5.4609,5.3320,27450,0
-0.2734,-3.6211,-5.5859,27572,0
-10.7656,3.6953,-2.6367,27425,0
-14.2969,13.6562,1.0391,27239,0
-4.8320,-5.5703,5.4453,27344,0
-3.8008,-13.6953,4.7578,27541,0
0.0703,-1.6289,-6.4727,27520,0
-11.5000,3.0820,-1.6406,27259,0
-23.5664,4.5000,5.2930,27274,0
-3.4531,-5.8828,5.2148,27522,0
-3.9531,-14.2695,4.5664,27523,0
-12.2656,4.2305,-1.2578,27389,0
-15.8320,13.6562,1.4219,27239,0
-22.4141,2.3164,4.6406,27408,0
-2.1523,-5.9531,5.1016,27534,0
-0.5430,2.4297,-7.2383,27461,0
-11.9570,5.1133,-1.1445,27246,0
-17.2070,13.3477,2.7656,27246,0
-0.8867,-6.0742,4.9844,27305,0
-4.9102,-15.4531,3.4922,27554,0
-1.1172,3.8477,-7.7305,27521,0
-17.5469,12.8906,2.7266,27298,0
-20.8867,0.7461,5.4844,27284,0
-0.0430,-6.4570,4.7188,27477,0
-4.6406,-15.0742,2.8789,27535,0
-11.7656,6.9141,-0.9141,27425,0
-19.6992,12.3906,3.5703,27235,0
-18.6289,-0.7500,4.8320,27393,0
-4.8320,-15.0742,1.6914,27567,0
-2.9180,5.1523,-7.3438,27472,0
-12.1133,7.2188,-0.7227,27257,0
-20.0039,12.1992,4.1445,27304,0
0.9141,-7.1836,4.6797,27533,0
-4.1055,-14.3867,1.1562,27516,0
-4.4492,5.8789,-7.1992,27314,0
-21.6133,11.2812,3.9883,27277,0
