x,y,z,som,picos
0.0000,0.0000,0.0000,27373,0
0.0000,0.0000,0.0000,27373,0
0.0000,0.0000,0.0000,27447,0
0.0000,0.0000,0.0000,27462,0
0.0000,0.0000,0.0000,27382,0
-11.4258,-3.1250,0.4258,27505,0
-20.0820,2.4297,2.9570,27327,0
-14.2617,-2.5859,0.7344,27529,0
5.0508,0.7852,-1.0273,27347,0
-17.1641,-2.0508,1.0039,27515,0
5.0508,-0.2891,-0.9141,27424,0
-14.9844,3.1953,2.6875,27417,0
-19.6211,-1.4375,1.2695,27511,0
-12.1523,3.3906,2.1914,27360,0
-21.6484,-0.9023,1.5000,27525,0
3.2930,-2.1289,-0.6445,27355,0
-23.1797,-0.4023,1.8047,27538,0
1.5625,-2.9297,-0.4922,27362,0
-6.2539,3.5039,1.1172,27441,0
-24.2500,0.0547,2.0742,27450,0
-3.5703,3.3516,0.5430,27361,0
-24.6055,0.5938,2.4180,27510,0
-3.0312,-3.8555,-0.0312,27334,0
-24.4102,1.1289,2.6484,27545,0
-5.7109,-3.8906,0.1992,27361,0
1.3359,2.8555,-0.4531,27361,0
-8.5469,-3.5469,0.3125,27423,0
3.0547,2.2773,-0.7969,27423,0
-21.9141,2.1641,3.0312,27408,0
-11.6094,-3.2383,0.5039,27469,0
-19.7383,2.4688,3.0312,27331,0
-14.7148,-2.5508,0.8867,27509,0
5.0508,0.7461,-1.1445,27311,0
-17.3633,-1.9375,0.9648,27489,0
5.0508,-0.4023,-0.9141,27348,0
-14.6836,3.1953,2.6094,27399,0
-19.8164,-1.3984,1.3086,27428,0
-11.8828,3.3906,2.1914,27332,0
-21.6914,-0.8633,1.4609,27475,0
2.9414,-2.3203,-0.4922,27312,0
-23.3008,-0.5586,1.7695,27507,0
1.3711,-3.1953,-0.3789,27332,0
-5.9062,3.7734,1.0391,27468,0
-24.4062,0.2109,2.2266,27420,0
-2.9961,3.3555,0.3906,27390,0
-24.5664,0.8203,2.4570,27499,0
-3.6836,-3.9297,0.1602,27499,0
-24.1797,1.2070,2.6875,27560,0
-6.4766,-3.7383,0.3516,27560,0
1.8320,2.6172,-0.6836,27387,0
-9.6172,-3.3906,0.4648,27560,0
3.5586,2.0859,-0.9531,27446,0
-21.2305,2.2773,3.0312,27470,0
-12.4180,-2.9688,0.6172,27551,0
-19.2734,3.0430,2.7266,27430,0
-15.5156,-2.5117,1.0391,27587,0
5.0078,0.3242,-1.0664,27418,0
-18.3945,-1.8984,1.2305,27599,0
4.8203,-0.8242,-0.9141,27420,0
-13.4180,3.5430,2.3438,27523,0
-20.7656,-1.2461,1.4609,27478,0
-10.4219,3.4258,1.8828,27415,0
-22.7617,-0.6328,1.8047,27540,0
2.1758,-2.6250,-0.4922,27382,0
-23.7969,-0.0195,1.9219,27558,0
0.1836,-3.4297,-0.1836,27370,0
-4.3789,3.4258,0.6172,27525,0
-2.5352,-3.7383,0.1602,27420,0
-1.4258,3.1953,0.0820,27430,0
-24.2500,1.0898,2.4570,27430,0
-5.2930,-3.8516,0.2734,27472,0
-23.5234,1.6641,2.6875,27349,0
-8.4688,-3.6602,0.4648,27516,0
3.0977,2.2383,-0.7969,27293,0
-11.6523,-3.1602,0.6562,27504,0
4.4766,1.4727,-1.0664,27347,0
-19.8125,2.5469,2.9180,27401,0
-14.7930,-2.4727,0.9258,27427,0
-17.1680,3.0039,2.8398,27316,0
-17.7852,-1.8984,1.1562,27465,0
4.8984,-0.5938,-0.8750,27300,0
-20.3438,-1.2461,1.4219,27507,0
4.0195,-1.5547,-0.6836,27322,0
-10.9609,3.4258,1.8047,27452,0
-22.3359,-0.7109,1.5391,27391,0
-7.5156,3.5430,1.3086,27370,0
-23.8711,-0.0195,1.9609,27445,0
0.1836,-3.3555,-0.1094,27311,0
-24.5234,0.5156,2.3047,27482,0
-2.5352,-3.7383,0.0820,27298,0
-1.2305,3.1992,0.0078,27298,0
-5.5664,-3.8125,0.3125,27463,0
1.2188,2.7734,-0.5312,27345,0
-23.3008,1.5898,2.8398,27398,0
-8.9336,-3.4688,0.5430,27418,0
-21.5703,2.2383,2.8789,27320,0
-12.1875,-3.0859,0.6562,27492,0
4.5195,1.3203,-1.0664,27283,0
-15.3672,-2.3945,1.0391,27512,0
5.1250,0.2852,-0.9883,27343,0
-16.4766,3.1211,2.7266,27424,0
-18.5508,-1.7812,1.2305,27429,0
-13.2617,3.3906,2.3047,27333,0
-20.9219,-1.0547,1.3867,27485,0
3.7461,-2.0117,-0.6055,27310,0
-22.9922,-0.4414,1.7305,27503,0
1.7539,-2.8516,-0.2227,27335,0
-6.4805,3.5039,1.0781,27451,0
-24.1016,0.1719,1.9961,27396,0
-3.2969,3.1953,0.3125,27378,0
-24.4844,0.7852,2.3438,27464,0
-3.7227,-3.8164,0.2734,27464,0
-24.0234,1.2812,2.6094,27332,0
-6.8203,-3.7383,0.4648,27489,0
2.2148,2.5508,-0.7617,27351,0
-10.3828,-3.3164,0.5820,27511,0
3.9805,1.8555,-0.9531,27382,0
-20.6484,2.4297,2.9180,27447,0
-13.6836,-2.7031,0.8477,27480,0
-18.0117,2.9297,2.8008,27382,0
-17.0547,-2.0117,1.1172,27536,0
5.0508,-0.3672,-0.8359,27348,0
-19.8555,-1.3242,1.3086,27552,0
4.2812,-1.4766,-0.6445,27374,0
-11.4258,3.3906,1.9219,27465,0
-22.1875,-0.6719,1.5781,27476,0
-7.7812,3.4648,1.3086,27377,0
-23.7188,-0.0195,1.8438,27542,0
0.2617,-3.4727,-0.0703,27349,0
-24.4492,0.6289,2.2266,27547,0
-2.8398,-3.8555,0.2734,27361,0
-1.0391,3.1953,-0.1094,27468,0
-24.2539,1.2812,2.4180,27450,0
1.6406,2.6172,-0.7227,27403,0
-23.0625,1.8945,2.7656,27403,0
-9.5078,-3.4297,0.6562,27496,0
-21.0742,2.3945,2.8008,27365,0
-12.9922,-2.9336,0.8867,27510,0
4.8633,1.0898,-1.0664,27337,0
-16.5195,-2.1641,1.0781,27495,0
5.1641,-0.1758,-0.9141,27379,0
-15.3281,3.2344,2.5742,27390,0
-19.5391,-1.3984,1.3086,27453,0
-11.8477,3.3906,1.9961,27344,0
-21.9961,-0.6719,1.5000,27487,0
2.6719,-2.5508,-0.3789,27315,0
-23.7188,0.0195,1.8438,27514,0
0.3750,-3.3906,-0.0312,27342,0
-4.6406,3.2734,0.6172,27416,0
-24.3672,0.6680,2.1523,27424,0
-1.0391,3.0430,-0.1094,27323,0
-24.1445,1.2812,2.4180,27512,0
-5.8320,-3.7734,0.4648,27306,0
-22.8750,2.0078,2.5742,27499,0
-9.8555,-3.5820,0.7734,27334,0
3.8242,2.0078,-1.0664,27334,0
-13.3008,-2.7422,0.8477,27421,0
4.9688,0.8984,-1.1055,27418,0
-18.1641,2.9688,2.8008,27337,0
-17.0156,-1.9727,1.1172,27479,0
-14.7109,3.1211,2.4570,27323,0
-19.9609,-1.1680,1.3867,27496,0
4.0156,-1.5547,-0.5703,27339,0
-22.4141,-0.5195,1.5781,27443,0
2.1367,-2.7734,-0.1836,27383,0
-7.1719,3.3516,1.1172,27352,0
-23.8281,0.2109,1.9219,27448,0
-3.4922,3.0820,0.2734,27295,0
-24.2930,0.9375,2.1914,27468,0
-3.9922,-3.9297,0.5039,27297,0
-23.7617,1.6250,2.4180,27453,0
-7.5859,-3.6992,0.6953,27335,0
2.8281,2.2773,-0.9531,27352,0
-22.0312,2.2773,2.8008,27424,0
4.5859,1.3984,-1.1055,27284,0
-19.4297,2.6992,2.8008,27476,0
-15.4453,-2.3203,1.0781,27476,0
-16.1719,3.1602,2.5742,27277,0
-18.9297,-1.5156,1.2695,27438,0
4.6250,-1.2461,-0.6445,27320,0
-21.6875,-0.6719,1.5000,27347,0
2.7930,-2.4727,-0.3008,27397,0
-8.2461,3.3516,1.3086,27257,0
-23.6055,0.0938,1.8047,27449,0
-4.3359,3.1953,0.4258,27261,0
-24.2539,0.8594,2.1523,27407,0
-3.3398,-3.8945,0.4648,27312,0
-23.8672,1.5508,2.3828,27340,0
-6.9805,-3.8125,0.6562,27371,0
2.4453,2.3555,-0.8750,27264,0
-22.2617,2.1992,2.7656,27433,0
4.4375,1.4727,-1.0664,27252,0
-19.7344,2.6992,2.7656,27417,0
-15.0234,-2.3945,1.0781,27299,0
-16.3594,3.1211,2.5742,27364,0
-18.7734,-1.5156,1.2695,27374,0
4.6680,-1.1680,-0.6055,27291,0
-12.7227,3.5039,1.9609,27421,0
2.8320,-2.5859,-0.2617,27421,0
-8.2422,3.4258,1.2695,27264,0
-23.5625,0.1328,1.8828,27425,0
-4.2617,3.1953,0.4648,27298,0
-24.2891,0.8594,2.1914,27372,0
-3.4531,-3.9297,0.4648,27368,0
-23.8320,1.5898,2.4180,27313,0
-7.2031,-3.7734,0.6953,27443,0
2.4883,2.3555,-0.8750,27254,0
-22.1094,2.3555,2.6875,27481,0
4.5156,1.3984,-1.0664,27318,0
