x,y,z,som,picos
0.0000,0.0000,0.0000,27475,0
0.0000,0.0000,0.0000,27452,0
0.0000,0.0000,0.0000,27559,0
0.0000,0.0000,0.0000,27449,0
0.0000,0.0000,0.0000,27537,0
-8.7070,0.4023,0.8477,27428,0
-15.0664,4.8438,-1.0273,27555,0
-7.7812,-0.4414,1.2695,27456,0
-7.2422,-3.1992,-1.7578,27523,0
-5.8672,-1.9727,0.6172,27438,0
-7.7461,-1.4375,-2.1406,27496,0
-15.0938,4.6914,-0.3398,27479,0
-5.1445,-3.4297,0.3516,27498,0
-14.7109,4.6133,0.5039,27458,0
-4.5273,-4.2344,-0.1836,27458,0
-10.9258,1.0117,-2.3320,27466,0
-4.1836,-4.5039,-0.5703,27495,0
-12.9141,2.2773,-2.0625,27474,0
-11.9570,2.6211,1.0391,27507,0
-4.3750,-4.5039,-0.7617,27445,0
-10.0430,1.2070,0.9258,27507,0
-4.6016,-4.2734,-1.3711,27417,0
-14.9062,4.5000,-1.4102,27530,0
-6.0156,-3.6211,-1.6406,27428,0
-15.2891,5.0352,-0.8750,27483,0
-7.0586,-1.3984,0.8477,27406,0
-15.2500,5.1523,-0.4922,27501,0
-5.8711,-2.4727,0.5820,27403,0
-8.8555,-1.3242,-2.1406,27475,0
-14.9492,4.8828,0.0078,27400,0
-10.0820,0.0547,-2.2148,27479,0
-13.9844,4.2695,0.4648,27428,0
-4.3398,-4.2344,-0.2617,27448,0
-12.8750,3.4258,0.7734,27460,0
-4.1445,-4.6562,-0.6445,27422,0
-12.9570,2.7383,-2.0234,27483,0
-11.2656,2.3164,1.0391,27483,0
-14.2969,3.7344,-1.7578,27423,0
-9.8906,1.0508,1.0781,27487,0
-5.1445,-4.1562,-1.4102,27430,0
-8.2070,-0.2500,0.9648,27512,0
-6.0547,-3.4297,-1.7188,27440,0
-15.4062,4.9961,-0.8359,27513,0
-6.9766,-1.5156,0.8477,27438,0
-15.3281,5.1133,-0.4141,27533,0
-5.6758,-2.6250,0.5039,27408,0
-8.7422,-1.2461,-2.1758,27525,0
-4.7969,-3.5820,0.1602,27446,0
-10.3477,0.0938,-2.1758,27480,0
-13.9883,4.2305,0.5039,27460,0
-11.7305,1.3984,-2.2148,27468,0
-12.7227,3.3906,0.8477,27470,0
-4.1445,-4.6211,-0.6055,27448,0
-13.1133,2.6602,-2.0234,27467,0
-4.4102,-4.5391,-0.9883,27459,0
-14.1836,3.6953,-1.7578,27483,0
-9.9336,1.1680,1.0781,27483,0
-14.9844,4.4609,-1.3711,27525,0
-8.4688,-0.0586,1.0391,27525,0
-6.0195,-3.5469,-1.6797,27411,0
-15.3672,4.8828,-0.9531,27529,0
-7.2031,-2.6641,-1.9844,27406,0
-15.3711,5.0742,-0.4922,27517,0
-5.9062,-2.4336,0.5820,27411,0
-14.9844,4.8828,-0.0312,27504,0
-4.9102,-3.3516,0.2344,27442,0
-10.0000,-0.1758,-2.2148,27481,0
