x,y,z,som,picos
0.0000,0.0000,0.0000,27530,0
0.0000,0.0000,0.0000,27468,0
0.0000,0.0000,0.0000,27381,0
0.0000,0.0000,0.0000,27307,0
0.0000,0.0000,0.0000,27476,0
-2.6484,-13.3125,4.8711,27573,0
-13.1797,7.5273,-2.6758,27487,0
-17.1289,10.4766,-0.3398,27279,0
-16.4375,-0.1367,4.9844,27364,0
-2.1914,-13.6953,2.7656,27534,0
-5.5938,5.0742,-4.3594,27499,0
-14.1836,9.7852,-1.3711,27326,0
-17.1680,10.5898,0.6562,27304,0
-1.0039,-6.7227,4.4883,27473,0
-3.9922,-14.6523,4.1055,27518,0
-4.7578,5.0352,-5.1641,27407,0
-16.3242,9.7461,0.0820,27271,0
-16.7461,-0.2891,5.5977,27374,0
-2.1914,-6.9570,4.7188,27521,0
-2.8047,-13.6953,4.3750,27513,0
-13.0352,9.7461,-2.1758,27513,0
-17.8945,11.3164,0.5820,27308,0
-15.8711,-1.1680,4.6406,27324,0
-3.6445,-14.3047,2.8008,27536,0
-4.0273,6.3008,-4.9727,27496,0
-15.3281,9.2891,-0.0703,27379,0
-15.3711,-0.5938,5.1758,27290,0
-3.6836,-6.8750,6.4023,27417,0
-5.3320,-13.8125,0.1211,27509,0
-0.7734,4.5391,-4.5898,27492,0
-15.8984,8.4453,-0.7617,27305,0
-17.6641,-0.7109,5.4062,27339,0
-3.9531,-6.6094,5.4062,27565,0
-2.3828,5.4570,-4.2070,27559,0
-14.5234,9.8242,-0.9141,27373,0
-16.1719,7.6016,-1.3711,27299,0
-16.2930,0.0547,5.3320,27487,0
-5.1797,-14.0781,0.5820,27523,0
0.1836,2.1250,-3.2109,27497,0
-15.0273,8.1758,0.8867,27330,0
-18.2031,0.0547,5.4453,27398,0
-4.6016,-6.4570,5.6367,27604,0
-3.5312,-11.6289,1.3086,27604,0
-12.9961,9.8242,-1.8320,27574,0
-15.8320,8.2930,-0.7969,27359,0
-16.5586,0.9375,5.5625,27311,0
-7.0547,-5.5000,6.4805,27557,0
0.0312,-0.2891,-1.6836,27566,0
-14.8281,8.7500,1.3086,27517,0
-14.9453,9.3633,0.1211,27347,0
-7.3984,-6.2266,4.9102,27452,0
-4.1055,-14.6484,-1.2969,27631,0
0.5312,0.4766,-2.5547,27568,0
-13.9453,13.1172,-0.6445,27394,0
-18.1289,1.5117,4.5273,27346,0
-7.4805,-5.0391,5.5977,27565,0
-5.8672,-14.0000,2.6484,27572,0
-13.6445,10.6289,0.0430,27546,0
-13.6016,9.3633,-1.4102,27355,0
-18.0117,2.5469,3.3008,27431,0
-9.2344,-4.4648,4.9492,27590,0
2.1016,-4.9609,-0.8359,27581,0
-13.1836,11.5469,-1.1445,27431,0
-12.1875,8.3320,-1.7188,27431,0
-10.5430,-1.8203,5.5234,27372,0
-8.4336,-11.0156,3.3789,27592,0
3.4023,-10.8594,-1.5664,27609,0
-12.3398,10.4375,-2.4062,27579,0
-17.6250,3.6953,1.6914,27394,0
-11.9219,-0.1758,4.6797,27393,0
-8.7031,-9.3672,4.7578,27608,0
-7.0938,7.2578,0.0820,27594,0
-12.7578,11.9297,-1.7188,27462,0
-15.9375,4.5781,-0.4141,27404,0
-7.6641,-7.2227,4.3750,27506,0
-2.7656,-12.3906,3.2617,27563,0
-3.1875,3.0820,0.0078,27610,0
-13.6797,12.3906,-1.6406,27441,0
-15.3320,1.4727,2.0352,27363,0
-10.1172,-5.6133,3.6836,27573,0
-3.8008,-15.0000,3.2617,27564,0
-14.6797,14.9961,0.4258,27589,0
-12.5703,6.8750,-3.2891,27430,0
-16.1367,1.7422,-0.3008,27430,0
-11.4219,-3.1992,1.6133,27524,0
2.0625,-5.9961,5.7539,27524,0
-12.8008,14.6133,1.3477,27626,0
-13.0352,8.9062,-3.0586,27490,0
-11.7695,-2.2812,0.6562,27403,0
-8.8555,-12.5859,3.9531,27478,0
2.2539,-9.9375,7.5898,27534,0
-13.0703,11.7383,-2.9453,27652,0
-15.7500,4.1172,-4.7422,27472,0
-11.8047,-1.3984,-0.4531,27349,0
-10.8047,-8.8320,3.3789,27481,0
-5.2930,4.5781,4.0273,27594,0
-13.6836,12.8906,-1.8320,27536,0
