x,y,z,som,picos
0.0000,0.0000,0.0000,27430,0
0.0000,0.0000,0.0000,27292,0
0.0000,0.0000,0.0000,27249,0
0.0000,0.0000,0.0000,27421,0
0.0000,0.0000,0.0000,27300,0
-16.7422,4.2305,5.5977,27279,0
0.0312,-0.5195,-1.6836,27402,0
-1.9219,3.1953,-3.9375,27247,0
-19.6992,3.0820,6.2891,27304,0
0.9141,0.6289,-2.2930,27455,0
-3.3008,3.3125,-3.0195,27199,0
-23.6016,1.8164,7.1328,27325,0
-12.2305,-5.6523,2.2266,27453,0
-4.6445,3.6953,-1.6406,27182,0
-26.4766,-0.0586,7.7070,27379,0
-8.7031,-5.1172,1.6133,27432,0
-5.9453,4.1172,-0.6445,27188,0
-28.3164,-1.7070,7.4766,27456,0
-5.9062,-4.5039,0.9648,27392,0
1.9102,3.3516,-4.6680,27216,0
-28.4297,-3.3164,6.7852,27449,0
-3.7617,-3.6211,0.5820,27342,0
2.0625,3.6172,-5.1250,27342,0
-27.5469,-4.4258,6.2500,27259,0
-2.1133,-3.0859,0.0820,27473,0
1.2188,3.8867,-5.2070,27311,0
-24.9883,-5.5352,5.2148,27332,0
-1.1953,-2.0508,-0.3789,27468,0
0.1094,3.5039,-4.9727,27324,0
-14.4844,4.8828,4.7930,27387,0
-0.2383,-1.1367,-1.0664,27491,0
-1.4258,3.3906,-4.4375,27291,0
-17.6641,4.0000,5.8281,27415,0
0.1484,0.0547,-1.9844,27521,0
-2.6875,3.1953,-3.5977,27263,0
-21.1484,2.6992,6.7500,27438,0
-14.3281,-6.1133,2.6094,27504,0
-4.0234,3.4648,-2.4453,27255,0
-24.1836,1.1680,7.3242,27483,0
-10.9258,-5.5352,1.9219,27489,0
-5.0625,3.8867,-1.1797,27267,0
-26.5898,-0.7852,7.6680,27522,0
-7.9727,-4.8867,1.1953,27451,0
1.8320,2.9688,-4.2461,27305,0
-27.9727,-2.2812,7.7422,27536,0
-5.4453,-4.0039,0.6172,27536,0
1.2969,3.3125,-4.7031,27417,0
-28.1641,-3.8516,7.1680,27368,0
-3.8750,-3.1250,-0.3398,27534,0
1.6016,3.6562,-5.0078,27376,0
-27.2852,-5.1523,6.2891,27419,0
-2.2656,-2.4727,-0.5312,27521,0
0.6445,3.6953,-5.1680,27343,0
-11.2266,5.3047,3.7227,27439,0
-1.4258,-1.4766,-1.1797,27528,0
-0.3125,3.4258,-4.7031,27302,0
-14.1016,4.8438,4.9844,27443,0
-0.2734,-0.6719,-1.7930,27554,0
-1.8086,3.2734,-4.0586,27292,0
-16.8203,3.8477,5.9062,27485,0
-18.7383,-6.7617,3.7617,27538,0
-2.8398,3.1602,-3.3984,27269,0
-20.7695,2.7383,6.7109,27510,0
