x,y,z,som,picos
0.0000,0.0000,0.0000,27480,0
0.0000,0.0000,0.0000,27400,0
0.0000,0.0000,0.0000,27291,0
0.0000,0.0000,0.0000,27308,0
0.0000,0.0000,0.0000,27502,0
-0.3125,-7.6836,4.9844,27459,0
-12.1133,11.0898,1.1562,27332,0
-18.0898,5.1875,-1.2188,27234,0
-20.3477,-1.7812,0.1602,27428,0
-0.6211,-5.6523,4.8320,27479,0
-1.0039,6.1523,-1.2188,27362,0
-12.6094,11.1641,1.7695,27215,0
-18.3906,7.3359,-1.1797,27358,0
-4.9492,-15.1523,3.9141,27472,0
-0.3125,-6.4922,2.7266,27472,0
-1.5391,6.4922,-1.6016,27424,0
-18.5469,7.3359,-0.5703,27275,0
-19.6602,-1.8594,2.2656,27270,0
-4.5273,-15.3047,3.1094,27502,0
-0.2734,-7.9062,2.6875,27452,0
-12.9531,11.5117,2.1914,27328,0
-18.4727,9.0977,-0.5312,27207,0
-19.3164,-2.6641,2.9570,27397,0
-0.0078,-6.8359,1.6133,27489,0
-2.6133,6.4141,-0.8750,27347,0
-12.9531,10.7812,2.4180,27209,0
-19.2383,-2.6250,3.1094,27326,0
-4.5664,-15.1094,2.5352,27475,0
0.1094,-7.1094,1.5391,27433,0
-2.8398,6.8750,-0.9531,27285,0
-18.3164,8.0625,-0.5312,27209,0
-19.0508,-2.5117,3.1875,27454,0
-4.8320,-14.9609,2.4180,27413,0
-2.9570,6.6406,-0.7617,27334,0
-13.1445,10.6289,2.7656,27157,0
-18.2070,7.9844,-0.5312,27316,0
-18.8906,-2.6250,3.2617,27316,0
0.3008,-6.7188,1.2695,27472,0
-3.1094,7.2578,-1.1055,27358,0
-12.9141,10.3594,2.7266,27216,0
-18.9297,-2.2422,3.2617,27222,0
-5.2539,-14.7266,2.6875,27459,0
-0.0430,-7.2227,1.6914,27404,0
-12.7227,10.4375,2.7266,27323,0
-17.8242,6.9883,-0.6445,27151,0
-18.9336,-1.7812,3.0312,27336,0
-5.5625,-14.6914,2.6094,27441,0
-2.8398,7.4453,-1.3711,27368,0
-12.4961,10.5898,2.8398,27172,0
-17.6680,7.1055,-0.6836,27215,0
-5.9062,-14.4648,2.7266,27449,0
-0.5039,-8.5234,2.1523,27369,0
-2.4961,7.4453,-1.4102,27294,0
-12.2695,10.5508,2.7656,27134,0
-19.1992,-0.9023,2.7656,27376,0
-6.3672,-14.0820,2.8398,27416,0
-0.8125,-9.2500,2.3438,27416,0
-11.9570,10.5508,2.8008,27212,0
-17.0156,7.3711,-0.6445,27212,0
-19.4297,-0.3281,2.5742,27243,0
-7.0938,-13.7734,2.9922,27466,0
-1.6914,6.7617,-1.6016,27428,0
-11.5742,10.5508,2.7266,27284,0
-16.5938,8.2148,-0.4531,27213,0
-7.5898,-12.9688,3.0703,27427,0
-1.2305,-11.8906,2.2266,27434,0
-1.1172,6.3750,-1.8320,27379,0
-16.0547,8.8281,-0.1836,27188,0
-20.1562,1.0898,2.0742,27277,0
-8.1289,-12.1289,3.2617,27475,0
-1.8438,-13.6172,2.3047,27426,0
-10.8477,10.3242,2.7266,27294,0
-15.5547,9.3633,0.1211,27203,0
-20.6172,1.7031,1.8438,27470,0
-2.3828,-14.3828,2.5742,27481,0
0.2617,5.6523,-2.4062,27390,0
-10.6211,9.9023,2.6094,27228,0
-14.9102,9.2891,0.3516,27309,0
-8.6641,-10.1758,3.6445,27511,0
-3.2227,-15.4570,3.1484,27511,0
0.8750,5.1133,-2.7539,27436,0
-14.7109,9.3281,0.4258,27290,0
-21.1523,3.2344,1.2305,27218,0
-9.0859,-9.7539,3.6055,27464,0
-3.6836,-15.5703,3.3398,27483,0
-9.8906,9.7461,2.2266,27370,0
-14.7930,9.3633,0.5430,27192,0
-20.9258,3.5430,0.9258,27335,0
-4.1836,-16.2188,3.5312,27511,0
1.7539,4.2305,-2.8672,27431,0
-9.5781,9.4414,2.2656,27282,0
-21.1523,3.8477,0.6172,27240,0
-10.1562,-8.7930,3.8359,27505,0
-4.5273,-16.2617,3.7227,27447,0
2.1758,3.8828,-2.9062,27390,0
-14.1016,9.7461,0.8867,27197,0
-21.2656,4.0391,0.2734,27365,0
-10.8477,-8.5234,3.8359,27502,0
2.3320,3.6172,-2.7148,27418,0
-8.7031,8.7930,2.0352,27246,0
-14.1016,9.3633,1.0039,27246,0
-20.9609,4.3477,-0.0703,27254,0
-4.6016,-15.8750,4.1445,27481,0
2.2539,3.3125,-2.4844,27458,0
-8.2422,8.7109,1.7305,27346,0
-20.6484,4.3828,-0.3789,27211,0
-12.3398,-7.9492,3.9141,27387,0
-4.7578,-16.1914,3.9531,27453,0
-7.9375,8.3281,1.8047,27411,0
-13.8008,9.9023,1.1953,27212,0
-20.7656,4.5391,-0.6055,27247,0
-13.0352,-7.7188,4.0664,27496,0
2.4062,2.2773,-1.8711,27423,0
-7.3633,8.2930,1.4609,27326,0
-14.0273,10.0547,1.1172,27198,0
-13.8789,-7.4922,4.1055,27393,0
-4.7578,-15.6523,4.1055,27450,0
2.2500,1.5898,-1.4492,27362,0
-6.7852,7.9492,1.2695,27207,0
-20.1562,4.7305,-1.0664,27284,0
-14.3672,-7.0703,4.1445,27482,0
-4.7969,-15.5312,4.1797,27482,0
-6.5195,7.7891,1.1172,27425,0
-13.9453,10.5898,1.4219,27306,0
-19.9648,4.8438,-1.1055,27220,0
-14.8320,-6.8398,4.1055,27433,0
2.2109,0.4023,-1.0664,27446,0
-6.2109,7.7891,0.9258,27366,0
-13.9062,10.5508,1.4219,27197,0
-15.2109,-6.5703,4.1445,27334,0
-4.9102,-15.6133,4.0664,27478,0
2.0234,0.1719,-0.9883,27419,0
-13.9102,10.8203,1.4219,27299,0
-19.6211,4.8047,-1.4102,27223,0
-15.4883,-6.4570,4.1055,27494,0
-4.7969,-15.4258,4.0273,27475,0
-5.7148,7.4453,0.7734,27387,0
-13.8359,10.8984,1.6133,27247,0
-19.6211,4.9219,-1.3711,27388,0
-4.9883,-15.3828,4.1055,27540,0
1.8711,-0.7852,-0.6836,27452,0
-5.5234,7.3008,0.6953,27288,0
-13.7578,11.0508,1.6133,27305,0
-15.8984,-5.9219,4.1445,27529,0
-4.9492,-15.2656,4.0664,27529,0
1.7930,-1.1328,-0.4922,27479,0
-13.8359,11.1641,1.5781,27410,0
-19.2734,4.9961,-1.5273,27232,0
-16.0195,-5.6914,4.0664,27432,0
-4.9883,-15.3477,3.9883,27527,0
-5.2930,7.1797,0.5430,27429,0
-13.7227,11.1641,1.8047,27278,0
-19.3555,5.1523,-1.5273,27319,0
-4.9102,-15.2266,4.0664,27551,0
1.4492,-1.5547,-0.3008,27465,0
-5.1406,7.2188,0.3516,27362,0
-19.1172,5.0742,-1.5664,27261,0
-16.3203,-5.2695,4.0273,27468,0
-4.8711,-15.2656,3.9531,27496,0
1.4102,-2.2852,-0.1094,27442,0
-13.6055,11.1250,1.9219,27256,0
-19.1602,5.1523,-1.5664,27368,0
-16.5586,-5.0781,3.9531,27538,0
1.4102,-2.0898,-0.1484,27474,0
-5.0234,7.3359,0.1602,27334,0
-13.6406,11.3164,1.7695,27334,0
-19.0078,5.1133,-1.6406,27259,0
-4.8320,-15.1484,3.8359,27510,0
1.1797,-2.9336,0.3125,27465,0
-4.8711,7.0625,0.2344,27412,0
-19.0469,5.3047,-1.6406,27248,0
-16.7812,-4.4258,3.7969,27382,0
-4.9883,-15.0312,3.9141,27505,0
-4.7188,7.1055,0.0430,27450,0
-13.4180,11.0898,1.9609,27286,0
-18.8516,5.3438,-1.6406,27268,0
-17.0156,-4.1562,3.7227,27504,0
0.8750,-3.6953,0.3906,27476,0
-4.5664,6.9141,-0.0312,27370,0
-13.3750,11.1250,1.9961,27226,0
-17.0859,-3.8516,3.6836,27405,0
-5.1016,-14.8047,3.9531,27505,0
0.7969,-4.2773,0.4648,27429,0
-4.4492,6.8789,-0.2617,27259,0
-18.6250,5.6875,-1.5664,27280,0
-17.2852,-3.4688,3.6055,27517,0
-5.2148,-14.5820,4.0273,27517,0
-4.1445,6.4180,-0.4141,27466,0
-13.1094,11.3945,2.1523,27361,0
-18.6680,6.4922,-1.5664,27228,0
-17.4375,-3.0859,3.3789,27431,0
0.4922,-6.3398,0.6953,27518,0
-3.8750,5.9531,-0.7969,27449,0
-13.0742,10.9336,2.3438,27278,0
-17.5078,-2.3945,3.3008,27362,0
-5.8672,-13.2383,4.2969,27564,0
0.4922,-8.1055,0.7344,27504,0
-13.2188,11.0508,2.4180,27402,0
-18.0508,8.2930,-0.5703,27266,0
-17.4766,-1.3633,2.9922,27508,0
-6.6719,-12.4336,4.2188,27558,0
-3.3750,3.3125,-1.5664,27475,0
-13.3008,11.3945,2.1133,27270,0
-18.0078,8.5586,0.3516,27377,0
-7.8203,-10.1719,4.9492,27623,0
0.6055,-12.7383,-0.3398,27552,0
-3.3008,2.4297,-3.5977,27395,0
-13.3750,9.4023,1.1953,27395,0
-17.1641,1.7031,4.3750,27326,0
-6.5938,-8.1016,6.3281,27537,0
-0.6953,-12.1250,-0.1484,27594,0
-12.7617,6.8359,0.9258,27512,0
-19.2383,12.7734,0.5039,27299,0
-17.7031,-0.5586,4.9844,27425,0
-4.1055,-8.0273,6.3281,27661,0
-2.4180,1.7812,-5.1641,27557,0
